Detector D0 coordinate (1, 0, 0)
Detector D1 coordinate (1, 2, 0)
Detector D2 coordinate (3, 1, 0)
Detector D3 coordinate (3, 3, 0)
Detector D4 coordinate (3, 5, 0)
Detector D5 coordinate (5, 0, 0)
Detector D6 coordinate (5, 2, 0)
Detector D7 coordinate (5, 4, 0)
Detector D8 coordinate (5, 6, 0)
Detector D9 coordinate (5, 8, 0)
Detector D10 coordinate (7, 1, 0)
Detector D11 coordinate (7, 3, 0)
Detector D12 coordinate (7, 5, 0)
Detector D13 coordinate (7, 7, 0)
Detector D14 coordinate (7, 9, 0)
Detector D15 coordinate (7, 11, 0)
Detector D16 coordinate (9, 0, 0)
Detector D17 coordinate (9, 2, 0)
Detector D18 coordinate (9, 4, 0)
Detector D19 coordinate (9, 6, 0)
Detector D20 coordinate (9, 8, 0)
Detector D21 coordinate (9, 10, 0)
Detector D22 coordinate (11, 1, 0)
Detector D23 coordinate (11, 3, 0)
Detector D24 coordinate (11, 5, 0)
Detector D25 coordinate (11, 7, 0)
Detector D26 coordinate (13, 0, 0)
Detector D27 coordinate (13, 2, 0)
Detector D28 coordinate (13, 4, 0)
Detector D29 coordinate (15, 1, 0)
Detector D30 coordinate (1, 0, 1)
Detector D31 coordinate (1, 2, 1)
Detector D32 coordinate (2, 0, 1)
Detector D33 coordinate (2, 2, 1)
Detector D34 coordinate (3, 1, 1)
Detector D35 coordinate (3, 3, 1)
Detector D36 coordinate (3, 5, 1)
Detector D37 coordinate (4, 1, 1)
Detector D38 coordinate (4, 3, 1)
Detector D39 coordinate (4, 5, 1)
Detector D40 coordinate (5, 0, 1)
Detector D41 coordinate (5, 2, 1)
Detector D42 coordinate (5, 4, 1)
Detector D43 coordinate (5, 6, 1)
Detector D44 coordinate (5, 8, 1)
Detector D45 coordinate (6, 0, 1)
Detector D46 coordinate (6, 2, 1)
Detector D47 coordinate (6, 4, 1)
Detector D48 coordinate (6, 6, 1)
Detector D49 coordinate (6, 8, 1)
Detector D50 coordinate (7, 1, 1)
Detector D51 coordinate (7, 3, 1)
Detector D52 coordinate (7, 5, 1)
Detector D53 coordinate (7, 7, 1)
Detector D54 coordinate (7, 9, 1)
Detector D55 coordinate (7, 11, 1)
Detector D56 coordinate (8, 1, 1)
Detector D57 coordinate (8, 3, 1)
Detector D58 coordinate (8, 5, 1)
Detector D59 coordinate (8, 7, 1)
Detector D60 coordinate (8, 9, 1)
Detector D61 coordinate (8, 11, 1)
Detector D62 coordinate (9, 0, 1)
Detector D63 coordinate (9, 2, 1)
Detector D64 coordinate (9, 4, 1)
Detector D65 coordinate (9, 6, 1)
Detector D66 coordinate (9, 8, 1)
Detector D67 coordinate (9, 10, 1)
Detector D68 coordinate (10, 0, 1)
Detector D69 coordinate (10, 2, 1)
Detector D70 coordinate (10, 4, 1)
Detector D71 coordinate (10, 6, 1)
Detector D72 coordinate (10, 8, 1)
Detector D73 coordinate (10, 10, 1)
Detector D74 coordinate (11, 1, 1)
Detector D75 coordinate (11, 3, 1)
Detector D76 coordinate (11, 5, 1)
Detector D77 coordinate (11, 7, 1)
Detector D78 coordinate (12, 1, 1)
Detector D79 coordinate (12, 3, 1)
Detector D80 coordinate (12, 5, 1)
Detector D81 coordinate (12, 7, 1)
Detector D82 coordinate (13, 0, 1)
Detector D83 coordinate (13, 2, 1)
Detector D84 coordinate (13, 4, 1)
Detector D85 coordinate (14, 0, 1)
Detector D86 coordinate (14, 2, 1)
Detector D87 coordinate (14, 4, 1)
Detector D88 coordinate (15, 1, 1)
Detector D89 coordinate (16, 1, 1)
Detector D90 coordinate (1, 0, 2)
Detector D91 coordinate (1, 2, 2)
Detector D92 coordinate (2, 0, 2)
Detector D93 coordinate (2, 2, 2)
Detector D94 coordinate (3, 1, 2)
Detector D95 coordinate (3, 3, 2)
Detector D96 coordinate (3, 5, 2)
Detector D97 coordinate (4, 1, 2)
Detector D98 coordinate (4, 3, 2)
Detector D99 coordinate (4, 5, 2)
Detector D100 coordinate (5, 0, 2)
Detector D101 coordinate (5, 2, 2)
Detector D102 coordinate (5, 4, 2)
Detector D103 coordinate (5, 6, 2)
Detector D104 coordinate (5, 8, 2)
Detector D105 coordinate (6, 0, 2)
Detector D106 coordinate (6, 2, 2)
Detector D107 coordinate (6, 4, 2)
Detector D108 coordinate (6, 6, 2)
Detector D109 coordinate (6, 8, 2)
Detector D110 coordinate (7, 1, 2)
Detector D111 coordinate (7, 3, 2)
Detector D112 coordinate (7, 5, 2)
Detector D113 coordinate (7, 7, 2)
Detector D114 coordinate (7, 9, 2)
Detector D115 coordinate (7, 11, 2)
Detector D116 coordinate (8, 1, 2)
Detector D117 coordinate (8, 3, 2)
Detector D118 coordinate (8, 5, 2)
Detector D119 coordinate (8, 7, 2)
Detector D120 coordinate (8, 9, 2)
Detector D121 coordinate (8, 11, 2)
Detector D122 coordinate (9, 0, 2)
Detector D123 coordinate (9, 2, 2)
Detector D124 coordinate (9, 4, 2)
Detector D125 coordinate (9, 6, 2)
Detector D126 coordinate (9, 8, 2)
Detector D127 coordinate (9, 10, 2)
Detector D128 coordinate (10, 0, 2)
Detector D129 coordinate (10, 2, 2)
Detector D130 coordinate (10, 4, 2)
Detector D131 coordinate (10, 6, 2)
Detector D132 coordinate (10, 8, 2)
Detector D133 coordinate (10, 10, 2)
Detector D134 coordinate (11, 1, 2)
Detector D135 coordinate (11, 3, 2)
Detector D136 coordinate (11, 5, 2)
Detector D137 coordinate (11, 7, 2)
Detector D138 coordinate (12, 1, 2)
Detector D139 coordinate (12, 3, 2)
Detector D140 coordinate (12, 5, 2)
Detector D141 coordinate (12, 7, 2)
Detector D142 coordinate (13, 0, 2)
Detector D143 coordinate (13, 2, 2)
Detector D144 coordinate (13, 4, 2)
Detector D145 coordinate (14, 0, 2)
Detector D146 coordinate (14, 2, 2)
Detector D147 coordinate (14, 4, 2)
Detector D148 coordinate (15, 1, 2)
Detector D149 coordinate (16, 1, 2)
Detector D150 coordinate (1, 0, 3)
Detector D151 coordinate (1, 2, 3)
Detector D152 coordinate (2, 0, 3)
Detector D153 coordinate (2, 2, 3)
Detector D154 coordinate (3, 1, 3)
Detector D155 coordinate (3, 3, 3)
Detector D156 coordinate (3, 5, 3)
Detector D157 coordinate (4, 1, 3)
Detector D158 coordinate (4, 3, 3)
Detector D159 coordinate (4, 5, 3)
Detector D160 coordinate (5, 0, 3)
Detector D161 coordinate (5, 2, 3)
Detector D162 coordinate (5, 4, 3)
Detector D163 coordinate (5, 6, 3)
Detector D164 coordinate (5, 8, 3)
Detector D165 coordinate (6, 0, 3)
Detector D166 coordinate (6, 2, 3)
Detector D167 coordinate (6, 4, 3)
Detector D168 coordinate (6, 6, 3)
Detector D169 coordinate (6, 8, 3)
Detector D170 coordinate (7, 1, 3)
Detector D171 coordinate (7, 3, 3)
Detector D172 coordinate (7, 5, 3)
Detector D173 coordinate (7, 7, 3)
Detector D174 coordinate (7, 9, 3)
Detector D175 coordinate (7, 11, 3)
Detector D176 coordinate (8, 1, 3)
Detector D177 coordinate (8, 3, 3)
Detector D178 coordinate (8, 5, 3)
Detector D179 coordinate (8, 7, 3)
Detector D180 coordinate (8, 9, 3)
Detector D181 coordinate (8, 11, 3)
Detector D182 coordinate (9, 0, 3)
Detector D183 coordinate (9, 2, 3)
Detector D184 coordinate (9, 4, 3)
Detector D185 coordinate (9, 6, 3)
Detector D186 coordinate (9, 8, 3)
Detector D187 coordinate (9, 10, 3)
Detector D188 coordinate (10, 0, 3)
Detector D189 coordinate (10, 2, 3)
Detector D190 coordinate (10, 4, 3)
Detector D191 coordinate (10, 6, 3)
Detector D192 coordinate (10, 8, 3)
Detector D193 coordinate (10, 10, 3)
Detector D194 coordinate (11, 1, 3)
Detector D195 coordinate (11, 3, 3)
Detector D196 coordinate (11, 5, 3)
Detector D197 coordinate (11, 7, 3)
Detector D198 coordinate (12, 1, 3)
Detector D199 coordinate (12, 3, 3)
Detector D200 coordinate (12, 5, 3)
Detector D201 coordinate (12, 7, 3)
Detector D202 coordinate (13, 0, 3)
Detector D203 coordinate (13, 2, 3)
Detector D204 coordinate (13, 4, 3)
Detector D205 coordinate (14, 0, 3)
Detector D206 coordinate (14, 2, 3)
Detector D207 coordinate (14, 4, 3)
Detector D208 coordinate (15, 1, 3)
Detector D209 coordinate (16, 1, 3)
Detector D210 coordinate (1, 0, 4)
Detector D211 coordinate (1, 2, 4)
Detector D212 coordinate (2, 0, 4)
Detector D213 coordinate (2, 2, 4)
Detector D214 coordinate (3, 1, 4)
Detector D215 coordinate (3, 3, 4)
Detector D216 coordinate (3, 5, 4)
Detector D217 coordinate (4, 1, 4)
Detector D218 coordinate (4, 3, 4)
Detector D219 coordinate (4, 5, 4)
Detector D220 coordinate (5, 0, 4)
Detector D221 coordinate (5, 2, 4)
Detector D222 coordinate (5, 4, 4)
Detector D223 coordinate (5, 6, 4)
Detector D224 coordinate (5, 8, 4)
Detector D225 coordinate (6, 0, 4)
Detector D226 coordinate (6, 2, 4)
Detector D227 coordinate (6, 4, 4)
Detector D228 coordinate (6, 6, 4)
Detector D229 coordinate (6, 8, 4)
